Shrimp Pesto
Steak and Spinach Salad
BLT's
Lemon Chicken Orzo Soup
Meat Loaf
Tuna Sandwiches
Hot Ham and Cheese
Shrimp Alfredo
Cubano Sandwiches
Butternut Soup
Spaghetti Squash Boats
Nachos
Chicken Quesadilla
Steak Quesadilla
Blackened Salmon Wedge Salad
Fajitas
Chicken Philly
Steak Philly
Steak and Potatoes
Meatball Subs
Spaghetti and Meatballs
Salmon and Rice w/ Veggies
Porkchops
Risotto
Pot Roast
Pulled Pork
Chili
Chicken Stir Fry
Beef Stir Fry
Pork Tenderloin
Burgers
Brats and Dogs
Mac N Cheese
Grilled Chicken
